time,binanceAAVEBTCbidMax,binanceAAVEBTCsellMin,nicehashAAVEBTCbidMax,nicehashAAVEBTCsellMin,okxAAVEBTCAAVE-BTCbidMax,okxAAVEBTCAAVE-BTCsellMin,bitstampAAVEBTCbidMax,bitstampAAVEBTCsellMin,cryptoAAVEBTCbidMax,cryptoAAVEBTCsellMin,
15 March 2023 23:01:53,0.003017,0.003022,0.00301293,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:01:54,0.003019,0.003022,0.00301293,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:01:54,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:01:55,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:01:56,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:01,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:01,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:01,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:01,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:02,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:02,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
15 March 2023 23:02:03,0.003019,0.003022,0.00301488,0.00302601,0.003016,0.00302,0.00303201,0.00300792,0.0030136,0.0030256,
